"","x"
"1","Anna Loomis"
"2","Spartans for Science and Policy"
"3","Megan Damico"
"4","Ashley"
"5","Deanna Granato"
"6","dac🧬"
"7","claire"
"8","KBB-8"
"9","UNC Greensboro Graduate School"
"10","UNCG Research"
"11","amaya"
"12","melina 🎀"
"13","UNCG"
"14","Kayla Campbell💕"
"15","j💛"
"16","UNCG Women's Soccer"
"17","TheGreensboroReview"
"18","MercerBearsVB"
"19","S. Alexa McDorman"
"20","Anna Baker Smith"
"21","Greensboro Coliseum Complex"
"22","UNCG Your First Year"
"23","Dr. Jessie Stern"
"24","HagenMinja"
"25","AML Moving and Cleaning"
"26","SUPA ⓥ"
"27","Coach Clai"
"28","UNCG Registrar"
"29","Downtown GreenwayGSO"
"30","Academic Homework/Assignment/Exams and Essays"
"31","MitraClip Bot"
"32","Bob Mulkey"
"33","Victoria Essay/Assignment"
"34","Charles Warren"
"35","Keyford Langley"
"36","* Essay, Assignment, Homework, #Onlineclasses'"
"37","UNCG Basketball"
"38","UNCG Students First"
"39","keenan"
"40","John Z. Kiss"
"41","UNC Greensboro Informatics and Analytics"
"42","Tanya Roth (she/her)"
"43","UNCG Engagement"
"44","Maarten A Immink"
"45","Madison Gilhool"
"46","Nur Sobers-Khan, PhD"
"47","Dr. Sally Koerner"
"48","Caira Jane"
"49","Hannah Grannemann"
"50","Caitlin Legacki 🤦🏼‍♀️"
"51","Chancellor Gilliam"
"52","Kirsten H"
"53","UNC Greensboro WeatherSTEM"
"54","Jim Coleman"
"55","Terry L. Kennedy"
"56","Katherine Hirsch"
"57","Essay Writer👨‍🎓👌"
"58","KYLA ESSAY & ONLINE CLASSES CENTRE.#ESSAYPAY#ESSAY"
"59","James DeMarco"
"60","Oliver Vicars-Harris"
"61","Mr Leyshon"
"62","Christine Murray"
"63","Hassan Barzani , M.A., M.S."
"64","Christopher Aiken"
"65","Leonard Mansfield"
"66","Sophie"
"67","Stella Resko, MSW, Ph.D."
"68","NASPSPA"
"69","NCHoopsReport"
"70","Freelancer Bell"
"71","Joe, A Wofford Fan"
"72","Chloe"
"73","The Neighborhood Creative"
"74","LotusThree LLC"
"75","Alexis Demarco"
"76","Quincy"
"77","ACADEMIC PRODIGY(#Essaypay #Essayhelp #Assignment)"
"78","@"
"79","John Parker"
"80","Rob from Chester, Pa"
"81","Due 👨🏼‍🎓 Assignments/ESSAYS Help"
"82","Comeh Emuobor"
"83","ChowanEsports"
"84","Powerhouse Nation Sports"
"85","The Truth"
"86","#ColtenGauthier4QB1"
"87","Stellar Hoops 🏢"
"88","chiaraformichi"
"89","Kevin Jenkins"
"90","Amari"
"91","SoCon Championships"
"92","Andrea Cassell"
"93","Carrie Turner"
"94","Sandlapper Spike"
"95","Sidelines Sports Network"
"96","clintonessay"
"97","DJC"
"98","Kris"
"99","ACADEMIC WRITER"
"100","Bryan McLean"
"101","Malin Pinsky"
"102","Will Queen"
"103","tamia"
"104","UNCG-CHCS"
"105","Kimberly Osborne"
"106","Callie Chappell"
"107","News & Record"
"108","Julie Irene Bost"
"109","Nate Humphrey"
"110","CNNC"
"111","Aiyanna Assignment/Essays"
"112","Navanti_miyah Essays/Assignment"
"113","Tim Scott"
"114","UNCG Staff Senate"
"115","Chan 🥀🧸"
"116","UNCG Volleyball"
"117","Don. B"
"118","Essaypro_tutor"
"119","Sabel Moffett Sabin"
"120","Mike Jones"
"121","Waiyi Tse"
"122","Akira Terui"
"123","__Jonathan__•_•"
"124","$WI$H 🔌"
"125","UNCG News"
"126","UNCG School of Music"
"127","Maryanne Kilgore"
"128","𝕋𝕒𝕞𝕞𝕪 𝕊. 𝔾𝕣𝕦𝕖𝕣"
"129","UNCG Promotions"
"130","UNFPA Eswatini"
"131","p-creed"
"132","DJ DREW 🇳🇬"
"133","Eswatini Observer"
"134","UNEswatini"
"135","Mr. Put It On Cxzy 👁‍🗨🥶"
"136","Ashton Cannon ✌️"
"137","UNCG SoftballParents"
"138","Mimi Alcocer"
"139","🕷"
"140","Certified Essay Girl!"
"141","#JuiceKrew"
"142","SIGMA ALPHA IOTA"
"143","Big Gangster Kelz 💯💰🤩"
"144","HighTimes87"
"145","#YouShouldHaveShoppedWitKelz😤😤😤😤😤😤💨💨💨💨"
"146","UNCG Alumni"
"147","Samford Volleyball"
"148","John-David R Rocha"
"149","Rachel Vannette"
"150","𝓐𝓲𝓼𝓱𝓪 ✒️"
"151","Greensboro Library"
"152","Tadashi Fukami"
"153","Dr. Kathryn Hosbein"
"154","UNCGNursing"
"155","UNCG Sustainability"
"156","Megan The Writer"
"157","Sophie Paper/Essay"
"158","Rob Lynch"
"159","CatamountSportsForum"
"160","Kristin Johnson"
"161","UNCG ITS"
"162","UNCG Softball"
"163","charis 🧸"
"164","CARS Dept. UNCG"
"165","Robert abides..."
"166","MFA Greensboro"
"167","SMOKERZ PARADISE ⛽️📲"
"168","A $ H🦋"
"169","UNCG English Department"
"170","Brandon Boyer"
"171","c."
"172","K.E. Flann"
"173","Zakharchenko"
"174","gordon gillespie"
"175","AACN"
"176","Elizabeth Perrill"
"177","@ProtestMusica"
"178","mindy pursey"
"179","HNAC"
"180","WGSS at UNCG"
"181","UNCG Doctor of Nursing Practice (DNP) Program"
"182","bella"
"183","Riley Terry"
"184","Regan Ward"
"185","Western Carolina Soccer"
"186","Jason Coupet"
"187","Western Carolina Athletics"
"188","UNCG Libraries"
"189","CCSD Title I HOPE"
"190","ItGIRL💎"
"191","marypapers WHATSAPP :+1(410)914-7043"
"192","UNCG College of Arts & Sciences"
"193","UNCG Archives"
"194","nyia 😚"
"195","NC Nurses Association"
"196","Amanda Ferguson"
"197","EPSILON THE DON"
"198","Ward Clayton"
"199","Annette Ponnock, PhD"
"200","UH Center For Mexican American Studies"
"201","C👑"
"202","Paulette Vincent-Ruz, Ph.D."
"203","Ken Wissoker"
"204","☿"
"205","Tasha The Writer"
"206","D🅰️ Real ⭕️G🌹🌹"
"207","mahni."
"208","UNCG Student Affairs"
"209","Duke University Press"
"210","Professor Sally Hunnicutt"
"211","UNCG Athletics Compliance"
"212","Jimmy Perry"
"213","L A V I $ H T H E E M I L F 👩🏼‍🦲"
"214","APPAM"
"215","Carmencitadelr"
"216","Clyde Bristow III"
"217","LOLO💙"
"218","Lo"
"219","Carolyn Barnes"
"220","Josh Frost"
"221","Jenni Owen"
"222","UNCG_finlit"
"223","NCHE"
"224","Derek Skillings"
"225","Born God"
"226","KION"
"227","Collegiate Sports Advocate (CSA)"
"228","James Bell"
"229","Malcolm Schug"
"230","SHAFR Historians"
"231","efna"
"232","How-weird"
"233","Carole Dabney-Smith"
"234","Catelynn writer"
"235","𝕿𝖗𝖎𝖈𝖎𝖆♥️"
"236","dym💋"
"237","Roger Moore"
"238","Excellent Quality Gradners"
"239","peyton 🌿"
"240","J.Muhammad"
"241","Ohana Kennedy  💦🍫✨💕"
"242","ESSAYS. HOMEWORK. ASSIGNMENTS. CLASSES. HELP"
"243","INTEL WRITERS PRO"
"244","Symon Balbin"
"245","Axel Langner"
"246","David Gonzalez"
"247","Kaci Greene"
"248","Bri🤍"
"249","BodyGoals Beauty Lounge"
"250","Reinhard_"
"251","SoConJohn22"
"252","NC Literary Map"
"253","Coach Hop"
"254","Alexandra Berl"
"255","Carolina Azevedo 🇺🇳"
"256","Bradley Rudisill"
"257","TBS Baseball"
"258","A. Miller"
"259","Jesse Ford, Ph.D."
"260","Whitney Frierson"
"261","Dr. Mary Beth Anzovino (she/her)"
"262","UNCG WBB"
"263","Sherine Obare"
"264","Memphis 🕊"
